━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  📐 포지션 트레이딩 스크리닝 보고서  (981종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장        섹터     등급        손절        익절     RR        수량       종합         점수  종목
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
🟢🟢 강력진입      90      51,895   강세추세      중립      A        51,561      52,563    2.0          38  🟢🟢 강력진입     78.2  한화 PLUS 국공채머니마켓액티브증권상장지수투자신탁(채권) (491230.KS)
🟢🟢 강력진입      75      12,220   약한강세    강세섹터    A+       11,829      13,002    2.0         163  🟢🟢 강력진입     73.3  신한 SOL미국배당다우존스증권상장지수투자신탁[주식](H) (452360.KS)
🟢🟢 강력진입      75       9,560   약한강세    약세섹터    A         9,280      10,121    2.0         209  🟢🟢 강력진입     70.2  삼성 KODEX 미국S&P500데일리커버드콜OTM증권상장지수투자신탁[주식-파생형] (0005A0.KS)
🟢🟢 강력진입      75      16,350   약한강세      중립      A        15,862      17,326    2.0         122  🟢🟢 강력진입     68.9  KB RISE TDF2050액티브증권상장지수투자신탁(혼합-재간접형) (442570.KS)
🟢🟢 강력진입      75     106,380     횡보      약세섹터    B       104,965     109,209    2.0          18   🟠 부분청산      57.0  KB RISE 종합채권(A-이상)액티브증권상장지수투자신탁(채권) (385540.KS)
🟢🟢 강력진입      75     101,390     횡보      약세섹터    B       100,691     102,789    2.0          19   🟠 부분청산      55.5  흥국 HK 종합채권(AA-이상)액티브증권상장지수투자신탁[채권] (472920.KS)
🟢🟢 강력진입      75      61,860     횡보        중립      B        61,310      62,959    2.0          32     🔴 청산        53.5  삼성 KODEX 국고채권 증권상장지수투자신탁[채권] (114260.KS)
🟢🟢 강력진입      70      54,705     횡보      약세섹터    B        53,949      56,218    2.0          36   🟠 부분청산      51.8  미래에셋TIGER종합채권(AA-이상)액티브증권상장지수투자신탁(채권) (451540.KS)
🟢🟢 강력진입      65     107,970   강세추세      중립      A       107,911     108,089    2.0          18  🟢🟢 강력진입     70.9  하나 1Q 단기금융채액티브증권상장지수투자신탁(채권) (463290.KS)
🟢🟢 강력진입      65      52,295   강세추세      중립      A        52,225      52,434    2.0          38  🟢🟢 강력진입     70.0  키움 KIWOOM 26-09회사채(AA-이상)액티브증권상장지수투자신탁[채권] (464240.KS)
🟢🟢 강력진입      65      56,480   강세추세      중립      A        56,415      56,610    2.0          35  🟢🟢 강력진입     68.4  미래에셋 TIGER 단기채권액티브증권상장지수투자신탁(채권) (272580.KS)
🟢🟢 강력진입      65     113,425   강세추세      중립      A       113,345     113,584    2.0          17  🟢🟢 강력진입     68.4  삼성KODEX단기채권증권상장지수투자신탁[채권] (153130.KS)
🟢🟢 강력진입      65      50,925   약한강세      중립      A        50,797      51,180    2.0          39  🟢🟢 강력진입     67.8  신한 SOL 중단기회사채(A-이상)액티브증권상장지수투자신탁[채권] (0016X0.KS)
🟢🟢 강력진입      65      51,525   강세추세      중립      A        51,485      51,605    2.0          38   🟠 부분청산      67.4  신한 SOL 26-12회사채(AA-이상)액티브증권상장지수투자신탁[채권] (488980.KS)
🟢🟢 강력진입      65     105,265   강세추세      중립      A       105,223     105,348    2.0          18   🟠 부분청산      67.4  DB 마이티 26-09 특수채(AAA)액티브증권상장지수투자신탁[채권] (465780.KS)
🟢🟢 강력진입      65     114,825   강세추세      중립      A       114,739     114,998    2.0          17   🟠 부분청산      66.9  삼성KODEX단기채권PLUS증권상장지수투자신탁[채권] (214980.KS)
   🟢 진입         60      36,815   약한강세    주도섹터    A+       31,608      47,228    2.0          38   🟠 부분청산      75.5  NH-Amundi HANARO Fn K-반도체증권상장지수투자신탁(주식) (395270.KS)
   🟢 진입         60   1,063,175   강세추세      중립      A+    1,062,912   1,063,702    2.0           1     🟢 진입        74.2  미래에셋 TIGER CD1년금리액티브증권상장지수투자신탁(채권혼합-파생형)(합성) (475630.KS)
   🟢 진입         60     106,260   강세추세      중립      A+      106,224     106,333    2.0          18     🟢 진입        71.2  KB RISE CD금리액티브특별자산상장지수투자신탁(금리-파생형)(합성) (477080.KS)
   🟢 진입         60      12,150   약한강세    약세섹터    B        11,278      13,894    2.0         164     🟢 진입        59.6  미래에셋 TIGER 차이나테크TOP10증권상장지수투자신탁(주식) (0047A0.KS)
   🟢 진입         55      13,020   약한강세    강세섹터    B        11,961      15,138    2.0         153   🟠 부분청산      61.3  삼성 KODEX 금융고배당TOP10타겟위클리커버드콜증권상장지수투자신탁[주식-파생형] (498410.KS)
   🟢 진입         55      22,450   약한강세    강세섹터    B        21,119      25,112    2.0          89     🟢 진입        61.3  경동도시가스 (267290.KS)
   🟢 진입         55     158,500   약한강세    강세섹터    B       144,279     186,942    2.0          12   🟠 부분청산      58.8  KT&G (033780.KS)
