━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (981종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   🟢 진입         50      46,150   고변동성    B        43,279      51,892    2.0          43     🟡 보류        51.8  호텔신라 (008770.KS)
   🟢 진입         50      15,520     횡보      C        15,113      16,333    2.0         128     🟡 보류        51.2  현대그린푸드 (453340.KS)
   🟢 진입         50       2,240   약세추세    F         2,023       2,675    2.0         892     🟡 보류        48.0  KB스타리츠 (432320.KS)
   🟢 진입         50      11,630     횡보      F        11,157      12,577    2.0         171     🟡 보류        46.1  미래에셋 TIGER 차이나테크TOP10증권상장지수투자신탁(주식) (0047A0.KS)
   🟢 진입         45      17,410   약세강세    A        16,340      19,549    2.0         114     🟢 진입        62.8  삼성KODEX삼성그룹밸류증권상장지수투자신탁[주식] (213610.KS)
   🟢 진입         45      18,795   약세강세    B        17,549      21,287    2.0         106     🟢 진입        58.8  삼성 KODEX 삼성그룹주 증권상장지수투자신탁[주식] (102780.KS)
   🟢 진입         45      25,115   약세강세    C        23,832      27,680    2.0          79     🟡 보류        55.1  미래에셋 TIGER 글로벌AI액티브증권상장지수투자신탁(주식) (466950.KS)
   🟡 보류         35     131,700   강세추세    B       115,236     164,627    2.0          12     🟡 보류        58.6  한화시스템 (272210.KS)
   🟡 보류         35       1,934   약세강세    A         1,835       2,131    2.0       1,034     🟡 보류        56.5  에어부산 (298690.KS)
