━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (1122종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   🟢 진입         60          80   약세강세    C            77          87    2.0      24,864     🟡 보류        60.4  Cisco Systems (CSCO)
   🟢 진입         55         105   약세추세    B           100         115    2.0      19,020     🟡 보류        60.4  Encompass Health (EHC)
   🟢 진입         55          20   고변동성    B            18          22    2.0     102,511     🟡 보류        55.5  Coupang (CPNG)
   🟢 진입         55          46   약세강세    F            45          49    2.0      43,131     🟡 보류        53.5  CNA Financial (CNA)
   🟢 진입         55         381     횡보      C           364         414    2.0       5,252     🟡 보류        51.9  Domino's Pizza (DPZ)
   🟢 진입         55         177     횡보      F           166         197    2.0      11,321     🟡 보류        47.9  Morningstar (MORN)
   🟢 진입         55         157   고변동성    F           147         178    2.0      12,730     🟡 보류        46.9  WEX (WEX)
   🟢 진입         50          38   고변동성    F            35          44    2.0      52,383     🟡 보류        53.6  Southwest Airlines (LUV)
   🟢 진입         50          45   약세추세    F            43          50    2.0      44,062     🟡 보류        50.6  Tractor Supply Company (TSCO)
   🟢 진입         50         181   약세추세    F           173         197    2.0      11,029     🟡 보류        50.6  Universal Health Services, Inc. (UHS)
   🟢 진입         50          89   약세추세    F            83         100    2.0      22,581     🟡 보류        48.0  Lennar (LEN)
   🟢 진입         50         130   고변동성    F           121         148    2.0      15,340     🟡 보류        44.6  SiteOne Landscape Supply (SITE)
   🟢 진입         50         189   고변동성    F           173         222    2.0      10,567     🟡 보류        39.5  AeroVironment (AVAV)
   🟢 진입         45         208   강세추세    B           207         209    2.0       9,635     🟢 진입        61.6  Chart Industries (GTLS)
   🟢 진입         45         296   약세강세    B           285         318    2.0       6,755     🟢 진입        60.2  Cboe Global Markets (CBOE)
   🟢 진입         45          60   약세강세    C            57          68    2.0      33,112     🟡 보류        58.5  EQT (EQT)
   🟢 진입         45          96   약세강세    C            91         106    2.0      20,783     🟡 보류        56.2  Liberty Live (LLYVA)
   🟢 진입         45         699   약세강세    C           654         789    2.0       2,860     🟡 보류        54.8  Curtiss-Wright (CW)
   🟢 진입         45         198   약세강세    C           191         212    2.0      10,102     🟡 보류        54.0  The Ensign (ENSG)
   🟢 진입         45         119   약세강세    C           110         137    2.0      16,825     🟡 보류        53.6  Qnity Electronics (Q)
   🟢 진입         45         208     횡보      F           199         225    2.0       9,616     🟡 보류        48.9  The Hershey Company (HSY)
   🟢 진입         40         160   약세강세    F           155         170    2.0      12,496     🟡 보류        48.2  Cincinnati Financial (CINF)
   🟢 진입         40         199   약세강세    F           193         211    2.0      10,052     🟡 보류        48.2  Quest Diagnostics Incorporated (DGX)
   🟢 진입         40         176     횡보      F           166         196    2.0      11,351     🟡 보류        42.6  Booking (BKNG)
   🟢 진입         40          43   고변동성    F            40          48    2.0      46,937     🟡 보류        41.1  CarMax (KMX)
   🟡 보류         35          73   약세강세    B            70          77    2.0      27,574     🟡 보류        59.0  Anheuser-Busch Inbev SA Sponsor (BUD)
   🟡 보류         35          73   약세강세    B            70          77    2.0      27,552     🟡 보류        59.0  The Williams Companies (WMB)
   🟡 보류         35         327   약세강세    B           312         358    2.0       6,109     🟡 보류        57.0  Analog Devices (ADI)
